time,errors
14:35:54,141
14:35:55,290
14:35:56,249
14:35:57,3
14:35:58,86
14:35:59,151
14:36:00,243
14:36:01,248
14:36:02,269
14:36:03,201
14:36:04,278
14:36:05,283
14:36:06,250
14:36:07,172
14:36:08,12
14:36:09,15
14:36:10,6
14:36:11,13
14:36:12,4
14:36:13,3
14:36:14,10
14:36:15,3
14:36:16,13
14:36:17,4
14:36:18,13
14:36:19,12
14:36:20,4
14:36:21,12
14:36:22,2
14:36:23,40
14:36:24,160
14:36:25,96
14:36:26,19
14:36:27,11
14:36:28,9
14:36:29,15
14:36:30,8
14:36:31,13
14:36:32,3
14:36:33,3
14:36:34,10
14:36:35,3
14:36:36,11
14:36:37,6
14:36:38,13
14:36:39,12
14:36:40,4
14:36:41,12
14:36:42,62
14:36:43,31
14:36:44,11
14:36:45,4
14:36:46,17
14:36:47,7
14:36:48,7
14:36:49,14
14:36:50,7
14:36:51,12
14:36:52,9
14:36:53,2
14:36:54,9
14:36:55,2
14:36:56,14
14:36:57,4
14:36:58,6
14:36:59,12
14:37:00,7
14:37:01,86
14:37:02,208
14:37:03,36
14:37:04,11
14:37:05,4
14:37:06,36
14:37:07,8
14:37:08,6
14:37:09,12
14:37:10,4
14:37:11,12
14:37:12,2
14:37:13,2
14:37:14,9
14:37:15,2
14:37:16,20
14:37:17,4
14:37:18,7
14:37:19,12
14:37:20,4
14:37:21,12
14:37:22,3
14:37:23,2
14:37:24,9
14:37:25,2
14:37:26,20
14:37:27,10
14:37:28,7
14:37:29,12
14:37:30,7
14:37:31,12
14:37:32,2
14:37:33,2
14:37:34,10
14:37:35,2
14:37:36,21
14:37:37,3
14:37:38,6
14:37:39,12
14:37:40,5
14:37:41,12
14:37:42,2
14:37:43,2
14:37:44,9
14:37:45,2
14:37:46,21
14:37:47,4
14:37:48,6
14:37:49,12
14:37:50,4
14:37:51,12
14:37:52,3
14:37:53,2
14:37:54,9
14:37:55,2
14:37:56,21
14:37:57,2
14:37:58,45
14:37:59,104
14:38:00,56
14:38:01,147
14:38:02,206
14:38:03,227
14:38:04,216
14:38:05,204
14:38:06,55
14:38:07,237
14:38:08,226
14:38:09,256
14:38:10,229
14:38:11,255
14:38:12,289
14:38:13,265
14:38:14,227
14:38:15,225
14:38:16,177
14:38:17,235
14:38:18,247
14:38:19,238
14:38:20,134
14:38:21,243
14:38:22,205
14:38:23,243
14:38:24,256
14:38:25,296
14:38:26,219
14:38:27,251
14:38:28,237
14:38:29,245
14:38:30,207
14:38:31,171
14:38:32,218
14:38:33,262
14:38:34,261
14:38:35,182
14:38:36,239
14:38:37,251
14:38:38,285
14:38:39,252
14:38:40,278
14:38:41,262
14:38:42,287
14:38:43,248
14:38:44,225
14:38:45,11
14:38:46,93
14:38:47,268
14:38:48,263
14:38:49,250
14:38:50,226
14:38:51,266
14:38:52,262
14:38:53,238
14:38:54,207
14:38:55,267
14:38:56,255
14:38:57,260
14:38:58,232
14:38:59,206
14:39:00,249
14:39:01,259
14:39:02,264
14:39:03,195
14:39:04,276
14:39:05,262
14:39:06,270
14:39:07,211
14:39:08,223
14:39:09,227
14:39:10,286
14:39:11,221
14:39:12,174
14:39:13,202
14:39:14,286
14:39:15,285
14:39:16,247
14:39:17,265
14:39:18,288
14:39:19,276
14:39:20,190
14:39:21,142
14:39:22,236
14:39:23,282
14:39:24,256
14:39:25,187
14:39:26,283
14:39:27,283
14:39:28,278
14:39:29,180
14:39:30,253
14:39:31,259
14:39:32,248
14:39:33,183
14:39:34,253
14:39:35,248
14:39:36,259
14:39:37,191
14:39:38,228
14:39:39,279
14:39:40,297
14:39:41,235
14:39:42,223
14:39:43,263
14:39:44,288
14:39:45,294
14:39:46,211
14:39:47,271
14:39:48,260
14:39:49,161
14:39:50,162
14:39:51,253
14:39:52,247
14:39:53,252
14:39:54,249
14:39:55,216
14:39:56,290
14:39:57,303
14:39:58,218
14:39:59,180
14:40:00,201
14:40:01,230
14:40:02,262
14:40:03,223
14:40:04,209
14:40:05,259
14:40:06,249
14:40:07,254
14:40:08,203
14:40:09,248
14:40:10,259
14:40:11,255
14:40:12,241
14:40:13,247
14:40:14,260
