,country,incomes,year,age
0,European Union,14960.0,2011,Total
1,European Union,14503.0,2011,Less than 6 years
2,European Union,,2011,From 6 to 10 years
3,European Union,13880.0,2011,From 6 to 11 years
4,European Union,,2011,From 11 to 15 years
5,European Union,13346.0,2011,From 12 to 17 years
6,European Union,13973.0,2011,Less than 16 years
7,European Union,13577.0,2011,From 16 to 24 years
8,European Union,15629.0,2011,From 16 to 64 years
9,European Union,15178.0,2011,16 years or over
10,European Union,13886.0,2011,Less than 18 years
11,European Union,13736.0,2011,From 18 to 24 years
12,European Union,15730.0,2011,From 18 to 64 years
13,European Union,15242.0,2011,18 years or over
14,European Union,15788.0,2011,From 25 to 49 years
15,European Union,15968.0,2011,From 25 to 54 years
16,European Union,16538.0,2011,From 50 to 64 years
17,European Union,16278.0,2011,From 55 to 64 years
18,European Union,15187.0,2011,Less than 60 years
19,European Union,14382.0,2011,60 years or over
20,European Union,15256.0,2011,Less than 65 years
21,European Union,,2011,From 65 to 74 years
22,European Union,13910.0,2011,65 years or over
23,European Union,15140.0,2011,Less than 75 years
24,European Union,13437.0,2011,75 years or over
25,European Union,14652.0,2011,Total
26,European Union,14337.0,2011,Less than 6 years
27,European Union,,2011,From 6 to 10 years
28,European Union,13585.0,2011,From 6 to 11 years
29,European Union,,2011,From 11 to 15 years
30,European Union,13081.0,2011,From 12 to 17 years
31,European Union,13739.0,2011,Less than 16 years
32,European Union,13220.0,2011,From 16 to 24 years
33,European Union,15201.0,2011,From 16 to 64 years
34,European Union,14851.0,2011,16 years or over
35,European Union,13649.0,2011,Less than 18 years
36,European Union,13306.0,2011,From 18 to 24 years
37,European Union,15292.0,2011,From 18 to 64 years
38,European Union,14911.0,2011,18 years or over
39,European Union,15293.0,2011,From 25 to 49 years
40,European Union,15488.0,2011,From 25 to 54 years
41,European Union,16194.0,2011,From 50 to 64 years
42,European Union,15981.0,2011,From 55 to 64 years
43,European Union,14816.0,2011,Less than 60 years
44,European Union,14238.0,2011,60 years or over
45,European Union,14882.0,2011,Less than 65 years
46,European Union,,2011,From 65 to 74 years
47,European Union,13825.0,2011,65 years or over
48,European Union,14794.0,2011,Less than 75 years
49,European Union,13424.0,2011,75 years or over
50,European Union,14960.0,2011,Total
51,European Union,14503.0,2011,Less than 6 years
52,European Union,,2011,From 6 to 10 years
53,European Union,13880.0,2011,From 6 to 11 years
54,European Union,,2011,From 11 to 15 years
55,European Union,13346.0,2011,From 12 to 17 years
56,European Union,13973.0,2011,Less than 16 years
57,European Union,13577.0,2011,From 16 to 24 years
58,European Union,15629.0,2011,From 16 to 64 years
59,European Union,15178.0,2011,16 years or over
60,European Union,13886.0,2011,Less than 18 years
61,European Union,13736.0,2011,From 18 to 24 years
62,European Union,15730.0,2011,From 18 to 64 years
63,European Union,15242.0,2011,18 years or over
64,European Union,15788.0,2011,From 25 to 49 years
65,European Union,15968.0,2011,From 25 to 54 years
66,European Union,16538.0,2011,From 50 to 64 years
67,European Union,16278.0,2011,From 55 to 64 years
68,European Union,15187.0,2011,Less than 60 years
69,European Union,14382.0,2011,60 years or over
70,European Union,15256.0,2011,Less than 65 years
71,European Union,,2011,From 65 to 74 years
72,European Union,13910.0,2011,65 years or over
73,European Union,15140.0,2011,Less than 75 years
74,European Union,13437.0,2011,75 years or over
75,European Union,15041.0,2011,Total
76,European Union,14569.0,2011,Less than 6 years
77,European Union,,2011,From 6 to 10 years
78,European Union,13950.0,2011,From 6 to 11 years
79,European Union,,2011,From 11 to 15 years
80,European Union,13426.0,2011,From 12 to 17 years
81,European Union,14046.0,2011,Less than 16 years
82,European Union,13648.0,2011,From 16 to 24 years
83,European Union,15715.0,2011,From 16 to 64 years
84,European Union,15261.0,2011,16 years or over
85,European Union,13958.0,2011,Less than 18 years
86,European Union,13808.0,2011,From 18 to 24 years
87,European Union,15816.0,2011,From 18 to 64 years
88,European Union,15325.0,2011,18 years or over
